subjID,condition,trial,effort_level,rating,ratingRT,effort_time,steps_req,sex,age,frustration_raw,frustration_adjusted,raw_overall,adjusted_overall,effort_trials,rel_liking,rel_value,rel_wanting
1,Value,1,Low,1,3.539,23.85327550000511,30,NA,NA,90,450,350,66,32,More,More,More
1,Value,2,Medium,2,2.929,74.36632659996394,100,NA,NA,90,450,350,66,103,More,More,More
1,Value,3,High,5,2.277,210.93285500002096,270,NA,NA,90,450,350,66,273,More,More,More
1,Value,4,Low,1,1.913,23.29065410001203,30,NA,NA,90,450,350,66,34,More,More,More
1,Value,5,High,5,6.561,188.45367330004228,270,NA,NA,90,450,350,66,276,More,More,More
1,Value,6,Medium,4,3.469,81.48755799996434,100,NA,NA,90,450,350,66,105,More,More,More
1,Value,7,High,5,2.286,179.22407350002322,270,NA,NA,90,450,350,66,270,More,More,More
1,Value,8,Medium,2,1.324,59.36125549999997,100,NA,NA,90,450,350,66,102,More,More,More
1,Value,9,Low,1,2.656,26.09752980002668,30,NA,NA,90,450,350,66,33,More,More,More
1,Value,10,Medium,3,3.537,68.31247890001396,100,NA,NA,90,450,350,66,106,More,More,More
1,Value,11,Low,1,2.116,21.316855500044767,30,NA,NA,90,450,350,66,32,More,More,More
1,Value,12,High,5,1.303,165.66388080001343,270,NA,NA,90,450,350,66,272,More,More,More
1,Value,13,Medium,2,1.518,58.79381539998576,100,NA,NA,90,450,350,66,101,More,More,More
1,Value,14,High,5,2.219,159.82056249998277,270,NA,NA,90,450,350,66,274,More,More,More
1,Value,15,Low,1,1.706,18.10793460003333,30,NA,NA,90,450,350,66,32,More,More,More
1,Value,16,High,5,2.051,138.29773980000755,270,NA,NA,90,450,350,66,274,More,More,More
1,Value,17,Low,1,1.453,18.781894899962936,30,NA,NA,90,450,350,66,34,More,More,More
1,Value,18,Medium,2,3.915,63.59949920000509,100,NA,NA,90,450,350,66,102,More,More,More
2,Value,1,Low,2,6.865,26.049198000051547,30,NA,NA,45,90,315,57.666666666666664,31,More,More,More
2,Value,2,Medium,2,6.858,62.98767119995318,100,NA,NA,45,90,315,57.666666666666664,104,More,More,More
2,Value,3,High,2,7.32,161.57211359997746,270,NA,NA,45,90,315,57.666666666666664,273,More,More,More
2,Value,4,Low,1,0.994,18.421071199991275,30,NA,NA,45,90,315,57.666666666666664,32,More,More,More
2,Value,5,High,2,3.178,153.53316550003365,270,NA,NA,45,90,315,57.666666666666664,275,More,More,More
2,Value,6,Medium,4,4.523,50.362525999953505,100,NA,NA,45,90,315,57.666666666666664,108,More,More,More
2,Value,7,High,3,1.855,139.18208779999986,270,NA,NA,45,90,315,57.666666666666664,273,More,More,More
2,Value,8,Medium,2,3.634,50.52199049998307,100,NA,NA,45,90,315,57.666666666666664,100,More,More,More
2,Value,9,Low,4,1.824,18.17305020004278,30,NA,NA,45,90,315,57.666666666666664,32,More,More,More
2,Value,10,Medium,3,1.163,47.73566229996504,100,NA,NA,45,90,315,57.666666666666664,101,More,More,More
2,Value,11,Low,3,5.718,21.02121919998899,30,NA,NA,45,90,315,57.666666666666664,38,More,More,More
2,Value,12,High,3,4.746,138.37751989997923,270,NA,NA,45,90,315,57.666666666666664,269,More,More,More
2,Value,13,Medium,2,2.797,54.834590600046795,100,NA,NA,45,90,315,57.666666666666664,102,More,More,More
2,Value,14,High,3,6.604,150.98858750000363,270,NA,NA,45,90,315,57.666666666666664,271,More,More,More
2,Value,15,Low,2,5.702,23.218714299960993,30,NA,NA,45,90,315,57.666666666666664,32,More,More,More
2,Value,16,High,1,1.807,143.39571120002074,270,NA,NA,45,90,315,57.666666666666664,274,More,More,More
2,Value,17,Low,3,6.324,17.119216399965808,30,NA,NA,45,90,315,57.666666666666664,33,More,More,More
2,Value,18,Medium,2,1.054,51.008813499996904,100,NA,NA,45,90,315,57.666666666666664,104,More,More,More
3,Liking,1,Low,2,8.259,20.92087249999167,30,NA,NA,65,130,420,77.33333333333333,37,More,More,More
3,Liking,2,Medium,4,4.347,53.8573100999929,100,NA,NA,65,130,420,77.33333333333333,104,More,More,More
3,Liking,3,High,4,4.071,165.51645490003284,270,NA,NA,65,130,420,77.33333333333333,273,More,More,More
3,Liking,4,Low,3,5.137,26.13688710000133,30,NA,NA,65,130,420,77.33333333333333,34,More,More,More
3,Liking,5,High,2,3.607,180.44744280003945,270,NA,NA,65,130,420,77.33333333333333,273,More,More,More
3,Liking,6,Medium,2,3.027,78.25543889997061,100,NA,NA,65,130,420,77.33333333333333,108,More,More,More
3,Liking,7,High,1,2.859,194.88582440000027,270,NA,NA,65,130,420,77.33333333333333,272,More,More,More
3,Liking,8,Medium,4,2.514,73.25076820002869,100,NA,NA,65,130,420,77.33333333333333,103,More,More,More
3,Liking,9,Low,1,3.526,26.481990100000985,30,NA,NA,65,130,420,77.33333333333333,33,More,More,More
3,Liking,10,Medium,2,3.004,75.24425750004593,100,NA,NA,65,130,420,77.33333333333333,103,More,More,More
3,Liking,11,Low,3,2.508,22.73418779997155,30,NA,NA,65,130,420,77.33333333333333,31,More,More,More
3,Liking,12,High,1,2.109,151.57373419997748,270,NA,NA,65,130,420,77.33333333333333,272,More,More,More
3,Liking,13,Medium,1,1.668,59.97493729996495,100,NA,NA,65,130,420,77.33333333333333,100,More,More,More
3,Liking,14,High,3,1.933,164.54969620000338,270,NA,NA,65,130,420,77.33333333333333,275,More,More,More
3,Liking,15,Low,3,1.353,21.984480799990703,30,NA,NA,65,130,420,77.33333333333333,29,More,More,More
3,Liking,16,High,2,2.801,148.12606510001933,270,NA,NA,65,130,420,77.33333333333333,273,More,More,More
3,Liking,17,Low,3,1.68,21.46722749999026,30,NA,NA,65,130,420,77.33333333333333,29,More,More,More
3,Liking,18,Medium,2,1.888,70.00474929995835,100,NA,NA,65,130,420,77.33333333333333,101,More,More,More
5,Liking,1,Low,3,2.913,19.65550620004069,30,NA,NA,10,0,275,61.666666666666664,30,More,More,More
5,Liking,2,Medium,2,0.759,61.97209070000099,100,NA,NA,10,0,275,61.666666666666664,98,More,More,More
5,Liking,3,High,2,3.191,157.6958530000411,270,NA,NA,10,0,275,61.666666666666664,272,More,More,More
5,Liking,4,Low,4,2.617,15.264754500007257,30,NA,NA,10,0,275,61.666666666666664,31,More,More,More
5,Liking,5,High,3,4.26,145.82647519995226,270,NA,NA,10,0,275,61.666666666666664,272,More,More,More
5,Liking,6,Medium,3,4.91,53.574191899970174,100,NA,NA,10,0,275,61.666666666666664,99,More,More,More
5,Liking,7,High,2,2.734,154.12739249999868,270,NA,NA,10,0,275,61.666666666666664,269,More,More,More
5,Liking,8,Medium,4,1.247,55.25071619998198,100,NA,NA,10,0,275,61.666666666666664,100,More,More,More
