subjID,type,experience,current_trial,firstsec,effort_level,numpressess,rt,value
48,Liking,No Experience,4,0,Medium,29,9250,3
48,Liking,No Experience,6,0,Low,16,3015,3
48,Liking,No Experience,8,0,High,60,2221,4
48,Liking,No Experience,10,0,Low,18,3284,5
48,Liking,No Experience,12,0,Medium,25,12187,3
48,Liking,No Experience,14,0,Medium,26,1545,4
48,Liking,No Experience,16,0,Low,15,952,4
48,Liking,No Experience,18,0,High,62,1648,3
48,Liking,No Experience,20,0,High,62,2929,3
1,Value,Experience,5,0,Medium,29,2658,4
1,Value,Experience,7,0,High,78,1892,5
1,Value,Experience,9,0,High,80,1718,2
1,Value,Experience,11,0,Medium,25,1304,3
1,Value,Experience,13,0,Low,20,1323,3
1,Value,Experience,15,0,High,68,1366,5
1,Value,Experience,17,0,Low,28,1437,1
1,Value,Experience,19,0,Low,21,1642,5
1,Value,Experience,21,0,Medium,42,834,5
31,Value,No Experience,4,0,Medium,38,9573,2
31,Value,No Experience,6,0,Low,22,4030,3
31,Value,No Experience,8,0,High,94,1321,4
31,Value,No Experience,10,0,Low,21,1846,2
31,Value,No Experience,12,0,Medium,39,2375,1
31,Value,No Experience,14,0,High,76,1845,5
31,Value,No Experience,16,0,Low,21,1596,1
31,Value,No Experience,18,0,Medium,37,1415,2
31,Value,No Experience,20,0,High,87,1341,3
169,Liking,Experience,41,0,Medium,16,4098,3
169,Liking,Experience,43,0,High,28,3610,2
169,Liking,Experience,45,0,High,29,1902,2
169,Liking,Experience,47,0,Medium,15,4115,4
169,Liking,Experience,49,0,Low,13,3626,3
169,Liking,Experience,51,0,Low,9,2260,4
169,Liking,Experience,53,0,High,30,1621,2
169,Liking,Experience,55,0,Medium,12,4197,3
169,Liking,Experience,57,0,Low,9,1769,3
39,Liking,No Experience,4,0,High,90,6409,3
39,Liking,No Experience,6,0,Medium,37,1618,4
39,Liking,No Experience,8,0,High,92,1394,2
39,Liking,No Experience,10,0,Medium,27,1656,3
39,Liking,No Experience,12,0,Low,20,1633,5
39,Liking,No Experience,14,0,Medium,35,963,3
39,Liking,No Experience,16,0,Low,21,775,5
39,Liking,No Experience,18,0,Low,24,851,3
39,Liking,No Experience,20,0,High,80,2141,1
93,Value,No Experience,4,0,Low,22,6955,3
93,Value,No Experience,6,0,High,70,4360,4
93,Value,No Experience,8,0,Medium,37,2085,3
93,Value,No Experience,10,0,High,81,2746,3
93,Value,No Experience,12,0,Low,21,1688,1
93,Value,No Experience,14,0,Medium,33,1738,2
93,Value,No Experience,16,0,High,75,1611,2
93,Value,No Experience,18,0,Low,15,1733,2
93,Value,No Experience,20,0,Medium,29,2249,1
78,Value,Experience,27,0,Medium,36,7641,1
78,Value,Experience,29,0,Low,19,2323,3
78,Value,Experience,31,0,Low,21,1914,4
78,Value,Experience,33,0,Low,20,1400,4
78,Value,Experience,35,0,High,89,1173,5
78,Value,Experience,37,0,Medium,35,936,3
78,Value,Experience,39,0,High,89,1648,5
78,Value,Experience,41,0,High,86,2450,4
78,Value,Experience,43,0,Medium,36,2380,3
153,Liking,No Experience,4,0,High,92,3920,2
153,Liking,No Experience,6,0,Medium,40,2447,4
153,Liking,No Experience,8,0,Medium,37,2742,2
153,Liking,No Experience,10,0,Low,24,8178,4
153,Liking,No Experience,12,0,Low,22,1529,3
153,Liking,No Experience,14,0,High,92,1567,3
153,Liking,No Experience,16,0,Low,23,4373,2
153,Liking,No Experience,18,0,Medium,38,2740,4
153,Liking,No Experience,20,0,High,91,4290,4
47,Value,No Experience,4,0,High,28,6906,1
47,Value,No Experience,6,0,Low,8,7757,4
47,Value,No Experience,8,0,Low,6,3029,4
47,Value,No Experience,10,0,High,28,2808,3
47,Value,No Experience,12,0,Medium,11,2071,2
47,Value,No Experience,14,0,High,28,1832,1
47,Value,No Experience,16,0,Medium,12,2466,3
47,Value,No Experience,18,0,Low,7,1791,2
47,Value,No Experience,20,0,Medium,11,1735,2
97,Liking,No Experience,4,0,Medium,38,3465,1
97,Liking,No Experience,6,0,Medium,37,1806,2
97,Liking,No Experience,8,0,High,91,1489,1
97,Liking,No Experience,10,0,High,90,3763,2
97,Liking,No Experience,12,0,High,83,2720,2
97,Liking,No Experience,14,0,Low,19,3114,2
97,Liking,No Experience,16,0,Low,19,2721,2
97,Liking,No Experience,18,0,Medium,30,2033,2
97,Liking,No Experience,20,0,Low,18,1576,3
172,Value,Experience,26,0,Medium,11,10830,4
