uniqueid,rating,exp,element,expexpct,direxp,expexpect,expabout,strategyq1,strat2,dirstrat,strategyq2,strategyq1_categories,strategyq1_primary_category,strategyq2_categories,strategyq2_primary_category,strategy_overall_category
A2CMWJEKHJ299N:3DHE4R9OCWC3X8KZ50W3VVFAPDW2G9,Liking_Rating,Experience,6,1,-1,I think you expected us to dislike pieces that took forever to get to.,Seeing how people associate negative feelings with a repetitive task.,"Going as fast as possible and the moment I realized it would take a while I'd skip it, regardless of the monetary value of each work.",1,-1,"If it took awhile to get to, I rated it low because my finger hurts now.",Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,Effort-Based Adjustment (Time/Hardness); Fatigue / Discomfort Adjustment,Effort-Based Adjustment (Time/Hardness),Skip / Move On Quickly + Effort-Based Adjustment (Time/Hardness)
A1QW6HQKXCLS1N:3OB0CAO74HQ7YP8HIRLGPZSGJQKYHX,Liking_Rating,No_Experience,5,1,-1,The harder it was to  reach the  caligraphy the lower the people would rate it.,To test the patience of the survey taker.,,1,-1,The harder it was to get there the less I  gave the numerical value.,No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue,Counting / Quantitative Cue,No Strategy / Not Specified + Counting / Quantitative Cue
AVOF14300525D:3VHHR074H3IQ51V6M3AE4E1QW8K7LC,Value_Rating,No_Experience,6,1,0,I think you are looking at the number of clicks in relation to how we value the calligraphy.,To see how we valued the works.,,1,-1,I thought if it took longer to get to it would not be worth as much.,No Strategy / Not Specified,No Strategy / Not Specified,Other,Other,No Strategy / Not Specified + Other
A1R5W4RQZTROD8:3AWETUDC92T7ZAT6KV5K3I2XPYKIZK,Liking_Rating,No_Experience,8,1,1,"Not sure, i guess you thought we're like them more if it took longer to get them?",If how hard we had to work for something had a positive or negative impact upon our value of something,,1,-1,"No, it was just whatever I liked better at first, but i got annoyed later when tasks took too long, and liked the ones where they were shorter, which probably impacted my scoring of the calligraphy for those later tasks",No Strategy / Not Specified,No Strategy / Not Specified,Aesthetic Preference / Liking-Based,Aesthetic Preference / Liking-Based,No Strategy / Not Specified + Aesthetic Preference / Liking-Based
A2G33A22E2A0XQ:3YJ6NA41JBH9GHB6F4SIOLFJSF4PJM,Liking_Rating,Experience,5,1,1,you expected that we would rate the value and time in a positive relationship,understanding the value of time and effort,if it felt like it would take more than 10 seconds to get to the calligraphy i scrapped it and moved on to the next one,1,-1,The quicker it was to get to the caligraphy the higher the ranking,Skip / Move On Quickly; Counting / Quantitative Cue; Intuition / Gut Feeling; Aesthetic Preference / Liking-Based,Skip / Move On Quickly,Other,Other,Skip / Move On Quickly + Other
A2G98Q8XEIPJUL:3ITXP059PWK6T9RY7LWCJQKUFZBJSW,Value_Rating,Experience,5,1,1,I think you expected us to rate the faster rooms at a lower value. But I don't know.,"I'm not sure. There's something in there about the higher value room being faster, but I don't know what. It seems counter intuitive. Maybe to see if people just skip the lower values looking for the higher ones, vs taking whatever comes up? Or at what point your abandon a room?","Start tapping to see how fast the little guy was going. Unfortunately, I did not skip rooms that I should have, because I was still getting the feel for it. The ones that I WOULD have skipped, would be the $100 rooms where the little guy was going slow.",1,-1,"I noticed that the little guy seemed faster in the higher value rooms in the first half, so I rated most of the fast ones higher than the slow ones.",Skip / Move On Quickly; Speed-Based Selection (Fast/Slow),Skip / Move On Quickly,Speed-Based Selection (Fast/Slow),Speed-Based Selection (Fast/Slow),Skip / Move On Quickly + Speed-Based Selection (Fast/Slow)
A2HHGI5CNSS5PD:392CY0QWG1SRWD5HZ2FU9MPOO4K4IZ,Liking_Rating,No_Experience,6,1,1,"In retrospect, perhaps most people put higher values on the ones harder to reach.  If you work more for it, it must be valuable.  I still value the easy ones.",I guess to see how people choose values.,,1,-1,The ones which were easier to reach were more valuable.,No Strategy / Not Specified,No Strategy / Not Specified,Counting / Quantitative Cue,Counting / Quantitative Cue,No Strategy / Not Specified + Counting / Quantitative Cue
A2RSMGCK1LWSS2:3D4CH1LGEAUEXS5YQ9BI5INOVIT9GT,Value_Rating,Experience,6,1,1,Not exactly sure....maybe to see if we thought the ones that took longer to get to would be worth more? or the ones that had more complicated designs?,Seeing how quick we can adapt strategy as we learn to play a game.,"After I got comfortable with the different speeds, I would basically skip and slow moving amount $300 or less and only skip the very slowest $400 or $500.",1,-1,If it looked relatively basic and moved fast then I would choose $300 or below but not much strategy other than that.,Skip / Move On Quickly; Speed-Based Selection (Fast/Slow); Pattern Or Rule-Based; Counting / Quantitative Cue,Skip / Move On Quickly,Speed-Based Selection (Fast/Slow); Pattern Or Rule-Based,Speed-Based Selection (Fast/Slow),Skip / Move On Quickly + Speed-Based Selection (Fast/Slow)
A1LQROX8JPGCTO:3BWI6RSP7GACZVLE5HNARJB6NBJE7W,Value_Rating,No_Experience,6,0,0,don't know,don't know,,1,-1,"If the little man moved quickly, the work was worth less.  If the little figure moved slowly,the work was worth more.",No Strategy / Not Specified,No Strategy / Not Specified,Speed-Based Selection (Fast/Slow); Counting / Quantitative Cue,Speed-Based Selection (Fast/Slow),No Strategy / Not Specified + Speed-Based Selection (Fast/Slow)
A1VW8Y7XCV3DRW:39L1G8WVWQSVEBQFRHP57IGWT2W132,Value_Rating,Experience,6,0,0,You expected me to figure out if it took longer just skip it and go on.,To see my thoughts on work per amount.,If the value was low and the work long then I would skip.,1,-1,I estimated the harder ones lower because they are more annoying.,Skip / Move On Quickly; Pattern Or Rule-Based,Skip / Move On Quickly,Counting / Quantitative Cue,Counting / Quantitative Cue,Skip / Move On Quickly + Counting / Quantitative Cue
