experiment_name,id,attention_check1,attention_check2,block,trial,order,condition,effort_level,component,rating,rt
buysell_within2,27389,1,2,main,1,BuyerSeller,Buyer,Low,NA,1.009289322,1.7058
buysell_within2,27389,1,2,main,2,BuyerSeller,Buyer,Medium,NA,1,1.7275
buysell_within2,27389,1,2,main,3,BuyerSeller,Buyer,High,NA,1,2.1619
buysell_within2,27389,1,2,main,4,BuyerSeller,Buyer,Low,NA,1,27.3306
buysell_within2,27389,1,2,main,5,BuyerSeller,Buyer,High,NA,1,3.56
buysell_within2,27389,1,2,main,6,BuyerSeller,Buyer,Medium,NA,1,1.5459
buysell_within2,27389,1,2,main,7,BuyerSeller,Buyer,High,NA,1,1.9122
buysell_within2,27389,1,2,main,8,BuyerSeller,Buyer,Medium,NA,1,1.3967
buysell_within2,27389,1,2,main,9,BuyerSeller,Buyer,Low,NA,1.52531265,2.3611
buysell_within2,27389,1,2,main,10,BuyerSeller,Seller,Medium,NA,1,3.6295
buysell_within2,27389,1,2,main,11,BuyerSeller,Seller,Low,NA,1,1.7938
buysell_within2,27389,1,2,main,12,BuyerSeller,Seller,High,NA,1,1.5124
buysell_within2,27389,1,2,main,13,BuyerSeller,Seller,Medium,NA,1.119979557,1.9662
buysell_within2,27389,1,2,main,14,BuyerSeller,Seller,High,NA,1.081259019,1.3279
buysell_within2,27389,1,2,main,15,BuyerSeller,Seller,Low,NA,1,1.762
buysell_within2,27389,1,2,main,16,BuyerSeller,Seller,High,NA,1.161405724,4.8621
buysell_within2,27389,1,2,main,17,BuyerSeller,Seller,Low,NA,1,1.9473
buysell_within2,27389,1,2,main,18,BuyerSeller,Seller,Medium,NA,1.076779702,2.6784
buysell_within2,27389,1,2,taskload,19,BuyerSeller,NA,Low,Temporal,11,5.3925
buysell_within2,27389,1,2,taskload,19,BuyerSeller,NA,Low,Effort,13,6.3622
buysell_within2,27389,1,2,taskload,19,BuyerSeller,NA,Low,Physical,16,2.1627
buysell_within2,27389,1,2,taskload,19,BuyerSeller,NA,Low,Efficient,1,3.5777
buysell_within2,27389,1,2,taskload,19,BuyerSeller,NA,Low,Depend,1,3.9462
buysell_within2,27389,1,2,taskload,19,BuyerSeller,NA,Low,Mental,18,1.7111
