experiment_name,id,gender,age,trial,condition,effort_level,rating,rt,belief_liking,belief_value
buysell_within2,27389,Female,25,1,Buyer,Low,1.009289322,1.7058,More,More
buysell_within2,27389,Female,25,2,Buyer,Medium,1,1.7275,More,More
buysell_within2,27389,Female,25,3,Buyer,High,1,2.1619,More,More
buysell_within2,27389,Female,25,4,Buyer,Low,1,27.3306,More,More
buysell_within2,27389,Female,25,5,Buyer,High,1,3.56,More,More
buysell_within2,27389,Female,25,6,Buyer,Medium,1,1.5459,More,More
buysell_within2,27389,Female,25,7,Buyer,High,1,1.9122,More,More
buysell_within2,27389,Female,25,8,Buyer,Medium,1,1.3967,More,More
buysell_within2,27389,Female,25,9,Buyer,Low,1.52531265,2.3611,More,More
buysell_within2,27389,Female,25,10,Seller,Medium,1,3.6295,More,More
buysell_within2,27389,Female,25,11,Seller,Low,1,1.7938,More,More
buysell_within2,27389,Female,25,12,Seller,High,1,1.5124,More,More
buysell_within2,27389,Female,25,13,Seller,Medium,1.119979557,1.9662,More,More
buysell_within2,27389,Female,25,14,Seller,High,1.081259019,1.3279,More,More
buysell_within2,27389,Female,25,15,Seller,Low,1,1.762,More,More
buysell_within2,27389,Female,25,16,Seller,High,1.161405724,4.8621,More,More
buysell_within2,27389,Female,25,17,Seller,Low,1,1.9473,More,More
buysell_within2,27389,Female,25,18,Seller,Medium,1.076779702,2.6784,More,More
buysell_within2,37382,Female,23,1,Seller,Low,2.951565256,8.6269,Less,More
buysell_within2,37382,Female,23,2,Seller,Medium,4.008399471,2.6446,Less,More
buysell_within2,37382,Female,23,3,Seller,High,4.986353616,3.2954,Less,More
buysell_within2,37382,Female,23,4,Seller,Low,2.019003527,0.837,Less,More
buysell_within2,37382,Female,23,5,Seller,High,4.936904762,0.9233,Less,More
buysell_within2,37382,Female,23,6,Seller,Medium,3.01856261,2.1699,Less,More
buysell_within2,37382,Female,23,7,Seller,High,3.993099647,3.3128,Less,More
buysell_within2,37382,Female,23,8,Seller,Medium,3.056569665,0.8234,Less,More
buysell_within2,37382,Female,23,9,Seller,Low,1,2.9892,Less,More
buysell_within2,37382,Female,23,10,Buyer,Medium,2.992350088,0.8381,Less,More
buysell_within2,37382,Female,23,11,Buyer,Low,1,3.4975,Less,More
buysell_within2,37382,Female,23,12,Buyer,High,3.007958554,2.4666,Less,More
buysell_within2,37382,Female,23,13,Buyer,Medium,3.013514109,33.746,Less,More
buysell_within2,37382,Female,23,14,Buyer,High,3.991512346,3.0064,Less,More
buysell_within2,37382,Female,23,15,Buyer,Low,1.003637566,4.4918,Less,More
buysell_within2,37382,Female,23,16,Buyer,High,4.995723104,1.1814,Less,More
buysell_within2,37382,Female,23,17,Buyer,Low,1.0039903,15.0267,Less,More
buysell_within2,37382,Female,23,18,Buyer,Medium,1.929100529,13.7847,Less,More
buysell_within2,37574,Female,23,1,Buyer,Low,1.038443507,8.289,More,No Difference
