experiment_name,experiment_id,id,condition,trial,effort_level,effort_steps,effort_ans,steps_correct,scale_type,rating,rt,gender,age,nasa_tlx
effortobserve,2349,25848,Liking,1,Low,30,30,1,Liking,1.035791326,4.3363,Female,23,103
effortobserve,2349,25848,Liking,2,Medium,100,100,1,Liking,1.112965486,2.3969,Female,23,103
effortobserve,2349,25848,Liking,3,High,270,270,1,Liking,1,2.2474,Female,23,103
effortobserve,2349,25848,Liking,4,Low,30,30,1,Liking,1.015383742,2.8865,Female,23,103
effortobserve,2349,25848,Liking,5,High,270,270,1,Liking,1.053672797,0.8376,Female,23,103
effortobserve,2349,25848,Liking,6,Medium,100,100,1,Liking,3.032215032,1.622,Female,23,103
effortobserve,2349,25848,Liking,7,High,270,100,0,Liking,1.053247048,2.8929,Female,23,103
effortobserve,2349,25848,Liking,8,Medium,100,100,1,Liking,1.032016349,2.9627,Female,23,103
effortobserve,2349,25848,Liking,9,Low,30,30,1,Liking,4.996821072,1.064,Female,23,103
effortobserve,2349,25848,Liking,10,Medium,100,100,1,Liking,1.074420981,1.1117,Female,23,103
effortobserve,2349,25848,Liking,11,Low,30,30,1,Liking,1.039509537,2.6907,Female,23,103
effortobserve,2349,25848,Liking,12,High,270,30,0,Liking,1.044363079,6.5198,Female,23,103
effortobserve,2349,25848,Liking,13,Medium,100,100,1,Liking,2.944482289,3.2097,Female,23,103
effortobserve,2349,25848,Liking,14,High,270,270,1,Liking,3.084695731,0.6864,Female,23,103
effortobserve,2349,25848,Liking,15,Low,30,30,1,Liking,1.04592416,0.8252,Female,23,103
effortobserve,2349,25848,Liking,16,High,270,100,0,Liking,1.010161217,3.0979,Female,23,103
effortobserve,2349,25848,Liking,17,Low,30,30,1,Liking,1.025544959,2.6901,Female,23,103
effortobserve,2349,25848,Liking,18,Medium,100,100,1,Liking,1.152900772,3.3464,Female,23,103
effortobserve,2349,27618,Liking,1,Low,30,30,1,Liking,1.731851852,4.26,Female,22,207
effortobserve,2349,27618,Liking,2,Medium,100,100,1,Liking,1.388148148,2.738,Female,22,207
effortobserve,2349,27618,Liking,3,High,270,270,1,Liking,2.608888889,1.129,Female,22,207
effortobserve,2349,27618,Liking,4,Low,30,30,1,Liking,3.420740741,1.78,Female,22,207
effortobserve,2349,27618,Liking,5,High,270,270,1,Liking,1.157037037,1.494,Female,22,207
effortobserve,2349,27618,Liking,6,Medium,100,100,1,Liking,1.672592593,1.37,Female,22,207
effortobserve,2349,27618,Liking,7,High,270,270,1,Liking,1.58962963,1.056,Female,22,207
effortobserve,2349,27618,Liking,8,Medium,100,100,1,Liking,4.125925926,1.587,Female,22,207
effortobserve,2349,27618,Liking,9,Low,30,30,1,Liking,4.155555556,2.069,Female,22,207
effortobserve,2349,27618,Liking,10,Medium,100,100,1,Liking,4.114074074,1.184,Female,22,207
effortobserve,2349,27618,Liking,11,Low,30,30,1,Liking,4.274074074,1.926,Female,22,207
effortobserve,2349,27618,Liking,12,High,270,270,1,Liking,2.342222222,1.253,Female,22,207
effortobserve,2349,27618,Liking,13,Medium,100,100,1,Liking,4.262222222,1.93,Female,22,207
effortobserve,2349,27618,Liking,14,High,270,270,1,Liking,1.459259259,2.085,Female,22,207
effortobserve,2349,27618,Liking,15,Low,30,30,1,Liking,1.352592593,1.844,Female,22,207
effortobserve,2349,27618,Liking,16,High,270,270,1,Liking,3.154074074,2.011,Female,22,207
effortobserve,2349,27618,Liking,17,Low,30,30,1,Liking,1.885925926,1.32,Female,22,207
effortobserve,2349,27618,Liking,18,Medium,100,100,1,Liking,3.574814815,1.664,Female,22,207
effortobserve,2349,28626,Value,1,Low,30,30,1,Value,2.932118303,5.5593,Female,21,113
effortobserve,2349,28626,Value,2,Medium,100,100,1,Value,1.06881293,3.218,Female,21,113
effortobserve,2349,28626,Value,3,High,270,270,1,Value,3.036440838,2.9423,Female,21,113
effortobserve,2349,28626,Value,4,Low,30,30,1,Value,1.950934892,2.2622,Female,21,113
effortobserve,2349,28626,Value,5,High,270,270,1,Value,1.982370979,1.8726,Female,21,113
effortobserve,2349,28626,Value,6,Medium,100,100,1,Value,2.961360041,2.582,Female,21,113
effortobserve,2349,28626,Value,7,High,270,100,0,Value,2.878990546,1.0175,Female,21,113
effortobserve,2349,28626,Value,8,Medium,100,100,1,Value,2.02889448,3.2111,Female,21,113
effortobserve,2349,28626,Value,9,Low,30,30,1,Value,3.846374843,2.9391,Female,21,113
effortobserve,2349,28626,Value,10,Medium,100,100,1,Value,3.99044432,3.4257,Female,21,113
effortobserve,2349,28626,Value,11,Low,30,30,1,Value,2.002674148,1.7914,Female,21,113
effortobserve,2349,28626,Value,12,High,270,270,1,Value,2.080673234,1.6748,Female,21,113
effortobserve,2349,28626,Value,13,Medium,100,100,1,Value,2.07052112,2.1271,Female,21,113
effortobserve,2349,28626,Value,14,High,270,270,1,Value,3.804014722,1.091,Female,21,113
effortobserve,2349,28626,Value,15,Low,30,30,1,Value,1.566457411,2.0107,Female,21,113
effortobserve,2349,28626,Value,16,High,270,270,1,Value,3.726220544,1.6422,Female,21,113
effortobserve,2349,28626,Value,17,Low,30,30,1,Value,1.923225063,1.7806,Female,21,113
effortobserve,2349,28626,Value,18,Medium,100,100,1,Value,4.017460959,2.593,Female,21,113
effortobserve,2349,30160,Liking,1,Low,30,30,1,Liking,2.902097801,3.3648,Female,22,281
effortobserve,2349,30160,Liking,2,Medium,100,100,1,Liking,3.893822338,3.3394,Female,22,281
effortobserve,2349,30160,Liking,3,High,270,270,1,Liking,3.943446181,7.0062,Female,22,281
effortobserve,2349,30160,Liking,4,Low,30,30,1,Liking,3.482103588,3.0737,Female,22,281
effortobserve,2349,30160,Liking,5,High,270,270,1,Liking,2.090755208,0.7887,Female,22,281
effortobserve,2349,30160,Liking,6,Medium,100,100,1,Liking,2.598987269,2.776,Female,22,281
effortobserve,2349,30160,Liking,7,High,270,270,1,Liking,3.579918981,1.3129,Female,22,281
effortobserve,2349,30160,Liking,8,Medium,100,100,1,Liking,3.522931134,1.1084,Female,22,281
effortobserve,2349,30160,Liking,9,Low,30,30,1,Liking,4.21916956,5.1579,Female,22,281
effortobserve,2349,30160,Liking,10,Medium,100,100,1,Liking,2.868952546,1.2597,Female,22,281
effortobserve,2349,30160,Liking,11,Low,30,30,1,Liking,3.146875,1.3758,Female,22,281
effortobserve,2349,30160,Liking,12,High,270,270,1,Liking,2.710199653,0.8044,Female,22,281
effortobserve,2349,30160,Liking,13,Medium,100,100,1,Liking,2.497468171,1.8119,Female,22,281
effortobserve,2349,30160,Liking,14,High,270,270,1,Liking,2.854441551,4.9953,Female,22,281
