experiment_name,id,trial,effort_level,effort_time,scale_first,scale_type,rt,rating,gender,age,nasa_tlx
effortratingclicks,37769,1,Low,18.882,Liking,Liking,4.582,3.958024993,Female,21,104
effortratingclicks,37769,1,Low,18.882,LikingValue,Value,6.7789,1.059259259,Female,21,104
effortratingclicks,37769,2,Medium,27.1732,Value,Value,5.91,2.580247215,Female,21,104
effortratingclicks,37769,2,Medium,27.1732,ValueLiking,Liking,1.9663,3.918518519,Female,21,104
effortratingclicks,37769,3,High,58.7576,Value,Value,4.0154,3.009876845,Female,21,104
effortratingclicks,37769,3,High,58.7576,ValueLiking,Liking,2.1842,2.2,Female,21,104
effortratingclicks,37769,4,Low,10.7788,Liking,Liking,2.6769,1.997531015,Female,21,104
effortratingclicks,37769,4,Low,10.7788,LikingValue,Value,2.267599999,1.439506248,Female,21,104
effortratingclicks,37769,5,High,54.5677,Value,Value,4.06,3.967901385,Female,21,104
effortratingclicks,37769,5,High,54.5677,ValueLiking,Liking,2.2134,3.009876845,Female,21,104
effortratingclicks,37769,6,Medium,26.5377,Value,Value,3.8166,1.9827162,Female,21,104
effortratingclicks,37769,6,Medium,26.5377,ValueLiking,Liking,1.2992,3.434568052,Female,21,104
effortratingclicks,37769,7,High,59.353,Value,Value,4.0864,3.923456941,Female,21,104
effortratingclicks,37769,7,High,59.353,ValueLiking,Liking,1.4365,3.291358326,Female,21,104
effortratingclicks,37769,8,Medium,26.3868,Liking,Liking,4.386900001,2.224691659,Female,21,104
effortratingclicks,37769,8,Medium,26.3868,LikingValue,Value,1.663900001,2.358024993,Female,21,104
effortratingclicks,37769,9,Low,9.674599999,Value,Value,2.695900001,1.385185185,Female,21,104
effortratingclicks,37769,9,Low,9.674599999,ValueLiking,Liking,1.6966,2.209876845,Female,21,104
effortratingclicks,37769,10,Medium,27.0354,Liking,Liking,3.8005,2.837037037,Female,21,104
effortratingclicks,37769,10,Medium,27.0354,LikingValue,Value,2.9946,2.925925926,Female,21,104
effortratingclicks,37769,11,Low,10.7232,Liking,Liking,2.1331,3.5827162,Female,21,104
effortratingclicks,37769,11,Low,10.7232,LikingValue,Value,1.451299999,2.851851852,Female,21,104
effortratingclicks,37769,12,High,54.8413,Liking,Liking,2.888,3.128395363,Female,21,104
effortratingclicks,37769,12,High,54.8413,LikingValue,Value,1.1493,4.62962963,Female,21,104
effortratingclicks,37769,13,Medium,26.7709,Liking,Liking,2.427799999,1.592592593,Female,21,104
effortratingclicks,37769,13,Medium,26.7709,LikingValue,Value,4.3105,1.138271756,Female,21,104
effortratingclicks,37769,14,High,59.0656,Value,Value,3.7668,1.533333333,Female,21,104
effortratingclicks,37769,14,High,59.0656,ValueLiking,Liking,0.800799999,3.291358326,Female,21,104
effortratingclicks,37769,15,Low,10.9302,Liking,Liking,2.903,1.706172915,Female,21,104
effortratingclicks,37769,15,Low,10.9302,LikingValue,Value,1.6401,1.879012496,Female,21,104
effortratingclicks,37769,16,High,58.967,Liking,Liking,3.203400001,3.804938422,Female,21,104
effortratingclicks,37769,16,High,58.967,LikingValue,Value,3.0863,2.9654324,Female,21,104
effortratingclicks,37769,17,Low,10.5848,Value,Value,3.8624,2.279012496,Female,21,104
effortratingclicks,37769,17,Low,10.5848,ValueLiking,Liking,2.3897,1.049382867,Female,21,104
effortratingclicks,37769,18,Medium,29.2075,Value,Value,5.846700001,3.1827162,Female,21,104
effortratingclicks,37769,18,Medium,29.2075,ValueLiking,Liking,1.6686,1.795061804,Female,21,104
effortratingclicks,43490,1,Low,17.0564,Liking,Liking,3.2765,1.969236111,Female,18,187
effortratingclicks,43490,1,Low,17.0564,LikingValue,Value,6.8999,2.522083333,Female,18,187
effortratingclicks,43490,2,Medium,26.7658,Liking,Liking,2.3435,2.481643519,Female,18,187
effortratingclicks,43490,2,Medium,26.7658,LikingValue,Value,2.8764,3.028842593,Female,18,187
effortratingclicks,43490,3,High,57.0007,Liking,Liking,1.7854,2.309861111,Female,18,187
