experiment_name,id,gender,age,belief_liking,belief_value
ratingclicks_within,53982,Male,20,More,No Difference
ratingclicks_within,54429,Female,21,No Difference,No Difference
ratingclicks_within,49662,Female,21,More,More
ratingclicks_within,53125,Female,19,More,Less
ratingclicks_within,42242,Female,21,Less,More
ratingclicks_within,53516,Female,19,No Difference,More
ratingclicks_within,42356,Female,21,No Difference,More
ratingclicks_within,54218,Female,18,More,More
ratingclicks_within,47886,Male,21,More,More
ratingclicks_within,42946,Female,21,Less,No Difference
ratingclicks_within,51673,Other,19,More,More
ratingclicks_within,47327,Female,20,More,More
ratingclicks_within,52340,Female,20,Less,More
ratingclicks_within,54132,Female,19,More,More
ratingclicks_within,51432,Female,19,Less,Less
ratingclicks_within,47025,Female,20,No Difference,More
ratingclicks_within,40604,Female,21,No Difference,More
ratingclicks_within,54164,Male,20,More,No Difference
ratingclicks_within,47273,Female,20,No Difference,More
ratingclicks_within,51104,Female,21,No Difference,No Difference
ratingclicks_within,45000,Female,20,More,More
ratingclicks_within,46267,Female,20,More,More
ratingclicks_within,54451,Male,20,More,More
ratingclicks_within,46883,Female,21,More,No Difference
ratingclicks_within,44977,Female,46,More,More
ratingclicks_within,54387,Male,21,No Difference,More
ratingclicks_within,51538,Female,21,No Difference,No Difference
ratingclicks_within,53460,Male,19,More,No Difference
ratingclicks_within,43824,Female,22,More,More
ratingclicks_within,48116,Female,20,No Difference,More
ratingclicks_within,42453,Female,21,No Difference,More
ratingclicks_within,45972,Female,20,More,No Difference
ratingclicks_within,54492,Male,24,More,No Difference
ratingclicks_within,54330,Female,18,Less,No Difference
ratingclicks_within,50236,Female,19,More,More
ratingclicks_within,54505,Female,20,Less,No Difference
ratingclicks_within,49982,Female,21,More,More
ratingclicks_within,48545,Female,20,More,More
ratingclicks_within,53027,Male,21,Less,More
ratingclicks_within,51349,Female,19,More,More
ratingclicks_within,47381,Female,20,More,More
ratingclicks_within,54285,Female,18,More,More
ratingclicks_within,48457,Female,21,No Difference,More
ratingclicks_within,53910,Female,18,Less,More
ratingclicks_within,54049,Male,18,No Difference,More
ratingclicks_within,53446,Female,20,No Difference,More
ratingclicks_within,51073,Male,21,Less,Less
ratingclicks_within,54659,Female,18,No Difference,More
ratingclicks_within,42139,Female,21,Less,More
ratingclicks_within,47599,Female,20,Less,No Difference
ratingclicks_within,54086,Male,18,No Difference,No Difference
ratingclicks_within,54197,Female,20,More,No Difference
ratingclicks_within,53728,Female,19,Less,More
ratingclicks_within,46951,Female,20,Less,More
ratingclicks_within,42508,Female,21,Less,No Difference
ratingclicks_within,54241,Female,38,No Difference,More
ratingclicks_within,42742,Female,22,Less,Less
ratingclicks_within,53441,Female,19,Less,No Difference
ratingclicks_within,54662,Male,21,More,More
ratingclicks_within,46246,Female,21,More,More
ratingclicks_within,48531,Other,20,No Difference,No Difference
ratingclicks_within,49601,Female,20,No Difference,No Difference
ratingclicks_within,48404,Female,20,Less,More
ratingclicks_within,46864,Female,20,More,No Difference
ratingclicks_within,45335,Female,21,No Difference,More
ratingclicks_within,54364,Female,18,More,More
ratingclicks_within,54160,Female,18,More,More
ratingclicks_within,53170,Female,21,No Difference,More
ratingclicks_within,54465,Female,26,Less,Less
ratingclicks_within,48876,Female,20,More,More
ratingclicks_within,47899,Female,20,More,More
ratingclicks_within,54395,Female,20,No Difference,More
ratingclicks_within,50479,Female,21,More,More
ratingclicks_within,43989,Female,21,No Difference,No Difference
ratingclicks_within,36954,Female,24,More,More
ratingclicks_within,49804,Female,19,More,More
ratingclicks_within,49934,Female,20,No Difference,No Difference
ratingclicks_within,42215,Female,21,More,More
ratingclicks_within,54030,Female,21,More,No Difference
ratingclicks_within,48378,Female,20,More,More
ratingclicks_within,54219,Female,18,Less,More
ratingclicks_within,51868,Female,20,More,More
ratingclicks_within,53937,Female,18,More,More
ratingclicks_within,52765,Female,19,Less,More
ratingclicks_within,48728,Female,20,Less,Less
ratingclicks_within,44571,Female,21,More,More
ratingclicks_within,24206,Female,31,No Difference,More
ratingclicks_within,49536,Female,21,No Difference,Less
ratingclicks_within,54686,Female,18,No Difference,More
ratingclicks_within,51851,Female,21,Less,Less
ratingclicks_within,46940,Female,20,Less,More
ratingclicks_within,54623,Female,20,More,More
ratingclicks_within,42808,Male,21,Less,More
ratingclicks_within,54491,Female,22,No Difference,More
ratingclicks_within,47153,Male,21,More,More
ratingclicks_within,50754,Female,19,Less,No Difference
ratingclicks_within,49531,Male,19,Less,Less
ratingclicks_within,54663,Female,21,More,No Difference
