experiment_name,id,effort_level,component,rating,rt,profile,score_diff,score_weighted,score_slope
ratingclicks_within,24206,Low,Pleasure,10,3.6495,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,Low,Mental,12,4.3363,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,Low,Effort,12,4.249,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,Low,Temporal,7,3.3744,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,Low,Efficient,13,3.35,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,Low,Depend,2,6.8175,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,Low,Frustration,6,3.4313,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,Low,Physical,9,2.0844,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,Low,Meaning,2,1.9648,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,Low,Performance,12,3.3682,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,Medium,Temporal,4,2.8044,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,Medium,Physical,11,2.1172,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,Medium,Efficient,8,2.2542,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,Medium,Pleasure,4,1.5969,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,Medium,Performance,14,2.106,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,Medium,Mental,5,2.3458,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,Medium,Effort,11,3.7718,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,Medium,Meaning,4,1.3222,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,Medium,Frustration,7,2.5547,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,Medium,Depend,3,2.389,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,High,Efficient,12,2.2899,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,High,Frustration,6,2.2064,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,High,Physical,13,1.8512,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,High,Performance,15,3.9201,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,High,Pleasure,5,1.3788,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,High,Mental,8,1.9253,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,High,Meaning,3,1.6903,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,High,Effort,15,3.0998,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,High,Temporal,3,1.4572,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,24206,High,Depend,8,3.3188,Mixed,3,1.5,1.4999999999999982
ratingclicks_within,36954,Low,Physical,2,4.5678,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,Low,Frustration,3,3.9836,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,Low,Meaning,13,2.8664,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,Low,Mental,4,5.4481,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,Low,Temporal,7,6.4519,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,Low,Efficient,10,3.5788,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,Low,Pleasure,20,7.2259,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,Low,Effort,8,4.4501,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,Low,Performance,5,17.422,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,Low,Depend,9,8.2803,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,Medium,Pleasure,7,7.1252,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,Medium,Mental,3,1.7028,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,Medium,Temporal,5,3.2219,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,Medium,Effort,5,1.8435,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,Medium,Depend,7,11.122,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,Medium,Frustration,7,4.061,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,Medium,Performance,5,2.6596,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,Medium,Meaning,9,4.2984,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,Medium,Efficient,13,2.6745,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,Medium,Physical,5,1.8408,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,High,Frustration,9,4.5518,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,High,Physical,8,1.381,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,High,Pleasure,5,2.5597,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,High,Meaning,5,8.0713,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,High,Temporal,5,11.207,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,High,Depend,7,15.3559,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,High,Mental,8,1.2653,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,High,Efficient,5,3.0815,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,High,Performance,5,2.0188,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,36954,High,Effort,8,3.5891,Mixed,0,0,-6.280369834735103e-16
ratingclicks_within,38374,Low,Physical,7,8.5028,Mixed,0,0,-0
ratingclicks_within,38374,Low,Effort,8,5.5945,Mixed,0,0,-0
ratingclicks_within,38374,Low,Meaning,5,4.6943,Mixed,0,0,-0
ratingclicks_within,38374,Low,Depend,9,9.5276,Mixed,0,0,-0
