experiment_name,experiment_id,id,trial,effort_level,effort_time,component,rt,rating,gender,age,nasa_tlx
effortratingclickstaskload,2347,27329,1,Low,15.4143,Mental,4.0232,2.015422635,Female,22,418
effortratingclickstaskload,2347,27329,1,Low,15.4143,Temporal,6.0166,11.01064019,Female,22,418
effortratingclickstaskload,2347,27329,1,Low,15.4143,Performance,4.0031,1.056368273,Female,22,418
effortratingclickstaskload,2347,27329,1,Low,15.4143,Pleasure,2.4528,9.146571181,Female,22,418
effortratingclickstaskload,2347,27329,1,Low,15.4143,Frustration,3.0309,15.14189128,Female,22,418
effortratingclickstaskload,2347,27329,1,Low,15.4143,Physical,1.9561,1.941254069,Female,22,418
effortratingclickstaskload,2347,27329,1,Low,15.4143,Effort,3.748,3.062972005,Female,22,418
effortratingclickstaskload,2347,27329,2,Medium,57.9499,Mental,1.7968,4.081464301,Female,22,418
effortratingclickstaskload,2347,27329,2,Medium,57.9499,Physical,1.3419,3.967195095,Female,22,418
effortratingclickstaskload,2347,27329,2,Medium,57.9499,Frustration,1.5202,17.14594618,Female,22,418
effortratingclickstaskload,2347,27329,2,Medium,57.9499,Performance,2.4726,1.007647569,Female,22,418
effortratingclickstaskload,2347,27329,2,Medium,57.9499,Temporal,1.2938,15.14086589,Female,22,418
effortratingclickstaskload,2347,27329,2,Medium,57.9499,Effort,2.4734,6.086436632,Female,22,418
effortratingclickstaskload,2347,27329,2,Medium,57.9499,Pleasure,2.9041,2.011987847,Female,22,418
effortratingclickstaskload,2347,27329,3,High,67.1124,Performance,12.0238,1.063558214,Female,22,418
effortratingclickstaskload,2347,27329,3,High,67.1124,Mental,2.7149,7.910759549,Female,22,418
effortratingclickstaskload,2347,27329,3,High,67.1124,Frustration,2.2415,13.74726454,Female,22,418
effortratingclickstaskload,2347,27329,3,High,67.1124,Temporal,2.536,8.621375868,Female,22,418
effortratingclickstaskload,2347,27329,3,High,67.1124,Physical,1.8389,5.821633572,Female,22,418
effortratingclickstaskload,2347,27329,3,High,67.1124,Effort,2.4959,16.1905306,Female,22,418
effortratingclickstaskload,2347,27329,3,High,67.1124,Pleasure,2.6109,1.000660265,Female,22,418
effortratingclickstaskload,2347,27329,4,Low,10.9125,Pleasure,1.8871,15.98955078,Female,22,418
effortratingclickstaskload,2347,27329,4,Low,10.9125,Temporal,1.9407,3.757046441,Female,22,418
effortratingclickstaskload,2347,27329,4,Low,10.9125,Mental,1.8556,2.019145237,Female,22,418
effortratingclickstaskload,2347,27329,4,Low,10.9125,Physical,1.4427,1.579665527,Female,22,418
effortratingclickstaskload,2347,27329,4,Low,10.9125,Performance,2.7171,1.089512533,Female,22,418
effortratingclickstaskload,2347,27329,4,Low,10.9125,Effort,3.199,2.176467828,Female,22,418
effortratingclickstaskload,2347,27329,4,Low,10.9125,Frustration,4.1632,2.042017144,Female,22,418
effortratingclickstaskload,2347,27329,5,High,61.2364,Mental,2.9472,16.61960286,Female,22,418
effortratingclickstaskload,2347,27329,5,High,61.2364,Physical,2.2765,17.38818793,Female,22,418
effortratingclickstaskload,2347,27329,5,High,61.2364,Pleasure,1.5625,1.025638835,Female,22,418
effortratingclickstaskload,2347,27329,5,High,61.2364,Temporal,3.9775,15.69076497,Female,22,418
effortratingclickstaskload,2347,27329,5,High,61.2364,Performance,2.3115,1.077929145,Female,22,418
effortratingclickstaskload,2347,27329,5,High,61.2364,Effort,1.9274,17.95341146,Female,22,418
effortratingclickstaskload,2347,27329,5,High,61.2364,Frustration,1.2728,18.19970269,Female,22,418
effortratingclickstaskload,2347,27329,6,Medium,25.7444,Temporal,2.1634,7.836242405,Female,22,418
effortratingclickstaskload,2347,27329,6,Medium,25.7444,Frustration,1.7605,8.12874783,Female,22,418
effortratingclickstaskload,2347,27329,6,Medium,25.7444,Physical,1.677,3.717261285,Female,22,418
effortratingclickstaskload,2347,27329,6,Medium,25.7444,Effort,1.9907,10.08718859,Female,22,418
effortratingclickstaskload,2347,27329,6,Medium,25.7444,Pleasure,2.2457,1.496898329,Female,22,418
effortratingclickstaskload,2347,27329,6,Medium,25.7444,Mental,2.0728,7.780748698,Female,22,418
effortratingclickstaskload,2347,27329,6,Medium,25.7444,Performance,2.4612,1.014816352,Female,22,418
effortratingclickstaskload,2347,27329,7,High,57.7094,Effort,2.441,16.96035373,Female,22,418
effortratingclickstaskload,2347,27329,7,High,57.7094,Pleasure,1.9268,1.172304145,Female,22,418
effortratingclickstaskload,2347,27329,7,High,57.7094,Physical,1.6994,15.36143121,Female,22,418
effortratingclickstaskload,2347,27329,7,High,57.7094,Mental,1.5696,16.24993164,Female,22,418
effortratingclickstaskload,2347,27329,7,High,57.7094,Frustration,1.5756,20.37053602,Female,22,418
effortratingclickstaskload,2347,27329,7,High,57.7094,Temporal,1.6962,17.46719618,Female,22,418
effortratingclickstaskload,2347,27329,7,High,57.7094,Performance,1.3801,1.101785482,Female,22,418
effortratingclickstaskload,2347,27329,8,Medium,27.3482,Temporal,2.4791,9.372753906,Female,22,418
effortratingclickstaskload,2347,27329,8,Medium,27.3482,Physical,0.997,9.478368056,Female,22,418
effortratingclickstaskload,2347,27329,8,Medium,27.3482,Performance,1.858,1.268014323,Female,22,418
effortratingclickstaskload,2347,27329,8,Medium,27.3482,Pleasure,2.5545,6.155022786,Female,22,418
effortratingclickstaskload,2347,27329,8,Medium,27.3482,Frustration,1.2563,10.68187717,Female,22,418
effortratingclickstaskload,2347,27329,8,Medium,27.3482,Mental,2.4244,7.521971571,Female,22,418
effortratingclickstaskload,2347,27329,8,Medium,27.3482,Effort,1.6604,8.973485243,Female,22,418
effortratingclickstaskload,2347,27329,9,Low,10.0742,Physical,2.2216,1.647409668,Female,22,418
effortratingclickstaskload,2347,27329,9,Low,10.0742,Performance,2.2425,1.051270888,Female,22,418
effortratingclickstaskload,2347,27329,9,Low,10.0742,Pleasure,1.5341,17.0626671,Female,22,418
effortratingclickstaskload,2347,27329,9,Low,10.0742,Frustration,1.7556,2.473511556,Female,22,418
effortratingclickstaskload,2347,27329,9,Low,10.0742,Mental,1.0934,3.108345812,Female,22,418
effortratingclickstaskload,2347,27329,9,Low,10.0742,Effort,0.9219,2.137942166,Female,22,418
effortratingclickstaskload,2347,27329,9,Low,10.0742,Temporal,1.2299,3.488358832,Female,22,418
effortratingclickstaskload,2347,27329,10,Medium,27.3976,Physical,4.7423,9.756816406,Female,22,418
effortratingclickstaskload,2347,27329,10,Medium,27.3976,Mental,1.415,9.645138889,Female,22,418
effortratingclickstaskload,2347,27329,10,Medium,27.3976,Performance,1.283,1.158478733,Female,22,418
effortratingclickstaskload,2347,27329,10,Medium,27.3976,Temporal,1.6099,10.26942491,Female,22,418
effortratingclickstaskload,2347,27329,10,Medium,27.3976,Effort,2.6621,9.392560764,Female,22,418
effortratingclickstaskload,2347,27329,10,Medium,27.3976,Pleasure,1.6588,1.07070638,Female,22,418
effortratingclickstaskload,2347,27329,10,Medium,27.3976,Frustration,1.3144,16.6874197,Female,22,418
effortratingclickstaskload,2347,27329,11,Low,9.4954,Frustration,1.8006,1.830262044,Female,22,418
effortratingclickstaskload,2347,27329,11,Low,9.4954,Performance,2.09,1.191132813,Female,22,418
effortratingclickstaskload,2347,27329,11,Low,9.4954,Effort,2.6967,1.86350803,Female,22,418
effortratingclickstaskload,2347,27329,11,Low,9.4954,Physical,1.2556,2.645847439,Female,22,418
effortratingclickstaskload,2347,27329,11,Low,9.4954,Mental,1.2085,2.733515354,Female,22,418
effortratingclickstaskload,2347,27329,11,Low,9.4954,Pleasure,1.9585,18.08627387,Female,22,418
effortratingclickstaskload,2347,27329,11,Low,9.4954,Temporal,2.0413,1.729612359,Female,22,418
effortratingclickstaskload,2347,27329,12,High,61.2511,Pleasure,5.4601,1.039112684,Female,22,418
effortratingclickstaskload,2347,27329,12,High,61.2511,Temporal,2.0762,15.08175022,Female,22,418
effortratingclickstaskload,2347,27329,12,High,61.2511,Frustration,1.6446,20.97779731,Female,22,418
effortratingclickstaskload,2347,27329,12,High,61.2511,Effort,2.0082,20.66679036,Female,22,418
effortratingclickstaskload,2347,27329,12,High,61.2511,Mental,1.4253,19.87471137,Female,22,418
effortratingclickstaskload,2347,27329,12,High,61.2511,Physical,1.0926,19.75711372,Female,22,418
effortratingclickstaskload,2347,27329,12,High,61.2511,Performance,2.3184,1.073443468,Female,22,418
effortratingclickstaskload,2347,27329,13,Medium,27.458,Pleasure,1.3925,1.993435059,Female,22,418
effortratingclickstaskload,2347,27329,13,Medium,27.458,Mental,2.2116,17.23953125,Female,22,418
effortratingclickstaskload,2347,27329,13,Medium,27.458,Physical,1.0958,16.66248698,Female,22,418
effortratingclickstaskload,2347,27329,13,Medium,27.458,Effort,2.0227,14.40161892,Female,22,418
effortratingclickstaskload,2347,27329,13,Medium,27.458,Performance,2.4556,1.161968859,Female,22,418
effortratingclickstaskload,2347,27329,13,Medium,27.458,Frustration,1.0275,15.18264106,Female,22,418
effortratingclickstaskload,2347,27329,13,Medium,27.458,Temporal,2.0594,12.46231011,Female,22,418
effortratingclickstaskload,2347,27329,14,High,56.2965,Frustration,3.6801,18.38475477,Female,22,418
effortratingclickstaskload,2347,27329,14,High,56.2965,Mental,1.1913,18.92360026,Female,22,418
effortratingclickstaskload,2347,27329,14,High,56.2965,Effort,1.0887,19.0074566,Female,22,418
effortratingclickstaskload,2347,27329,14,High,56.2965,Temporal,1.3905,19.08147135,Female,22,418
effortratingclickstaskload,2347,27329,14,High,56.2965,Performance,1.5879,1.000546875,Female,22,418
effortratingclickstaskload,2347,27329,14,High,56.2965,Physical,1.0534,17.99230686,Female,22,418
effortratingclickstaskload,2347,27329,14,High,56.2965,Pleasure,2.4452,1.326385905,Female,22,418
effortratingclickstaskload,2347,27329,15,Low,11.2949,Frustration,1.9613,1.882997504,Female,22,418
effortratingclickstaskload,2347,27329,15,Low,11.2949,Performance,1.2413,1.047785916,Female,22,418
effortratingclickstaskload,2347,27329,15,Low,11.2949,Pleasure,2.9237,18.3631033,Female,22,418
