experiment_name,id,condition,trial,effort_level,effort_time,rating,rt,nasa_tlx
buysell_between10,10,Sell,1,Low,21.170691499995883,0.45,2.088,190
buysell_between10,10,Sell,2,Medium,62.58309030000237,0.75,15.287,190
buysell_between10,10,Sell,3,High,160.71384670000407,1,1.153,190
buysell_between10,10,Sell,4,Low,22.944561800002703,0.25,6.422,190
buysell_between10,10,Sell,5,High,154.9330620999972,0.75,3.473,190
buysell_between10,10,Sell,6,Medium,60.44937299999583,0.45,1.423,190
buysell_between10,10,Sell,7,High,149.60191730000952,1,1.323,190
buysell_between10,10,Sell,8,Medium,65.91536880000785,0.75,1.968,190
buysell_between10,10,Sell,9,Low,22.462066699998104,0.25,3.891,190
buysell_between10,10,Sell,10,Medium,70.86195260001114,0.45,3.623,190
buysell_between10,10,Sell,11,Low,28.293690200007404,0.25,1.101,190
buysell_between10,10,Sell,12,High,174.5587380999932,0.75,4.472,190
buysell_between10,10,Sell,13,Medium,60.96704150000005,0.45,5.338,190
buysell_between10,10,Sell,14,High,185.4389330999984,1,3.318,190
buysell_between10,10,Sell,15,Low,26.761992400002782,0.25,4.506,190
buysell_between10,10,Sell,16,High,194.73612099999445,0.75,16.186,190
buysell_between10,10,Sell,17,Low,22.395763699998497,0.25,2.838,190
buysell_between10,10,Sell,18,Medium,67.43042520000017,0.45,1.683,190
buysell_between11,11,Buy,1,Low,19.93595909999999,0.45,7.039,200
buysell_between11,11,Buy,2,Medium,60.26409380000018,0.75,1.856,200
buysell_between11,11,Buy,3,High,153.91382559999988,0.75,2.725,200
buysell_between11,11,Buy,4,Low,18.778766799999858,0.45,5.173,200
buysell_between11,11,Buy,5,High,154.76585380000006,0.1,4.965,200
buysell_between11,11,Buy,6,Medium,59.89851159999989,0.45,0.941,200
buysell_between11,11,Buy,7,High,159.23169370000005,0.75,2.655,200
buysell_between11,11,Buy,8,Medium,59.11547159999964,0.45,1.889,200
buysell_between11,11,Buy,9,Low,27.72702479999998,0.25,2.924,200
buysell_between11,11,Buy,10,Medium,56.01652839999997,1,2.352,200
buysell_between11,11,Buy,11,Low,18.981084799999735,0.75,0.766,200
buysell_between11,11,Buy,12,High,145.18488899999966,0.25,3.581,200
buysell_between11,11,Buy,13,Medium,59.04874420000033,0.75,1.65,200
buysell_between11,11,Buy,14,High,144.7529356,1,2.242,200
buysell_between11,11,Buy,15,Low,18.37999949999994,0.75,1.156,200
buysell_between11,11,Buy,16,High,153.1985348000003,0.45,6.405,200
buysell_between11,11,Buy,17,Low,17.64702030000035,0.75,1.491,200
buysell_between11,11,Buy,18,Medium,57.148966299999756,0.75,3.039,200
buysell_between12,12,Sell,1,Low,17.6553827000007,0.1,8.771,280
buysell_between12,12,Sell,2,Medium,49.20412579999993,0.45,5.616,280
buysell_between12,12,Sell,3,High,123.14534350000031,1,3.672,280
buysell_between12,12,Sell,4,Low,16.813201700000718,0.45,3.138,280
buysell_between12,12,Sell,5,High,128.85800290000043,1,2.939,280
buysell_between12,12,Sell,6,Medium,50.08721870000045,0.75,4.484,280
buysell_between12,12,Sell,7,High,127.5435293999999,0.45,3.406,280
buysell_between12,12,Sell,8,Medium,49.25449099999969,0.25,3.873,280
buysell_between12,12,Sell,9,Low,14.682399899999837,0.1,7.551,280
buysell_between12,12,Sell,10,Medium,42.60534290000032,0.75,3.804,280
buysell_between12,12,Sell,11,Low,14.600102100000186,0.1,6.618,280
buysell_between12,12,Sell,12,High,111.46408859999974,1,5.983,280
buysell_between12,12,Sell,13,Medium,44.85598459999983,0.45,3.222,280
buysell_between12,12,Sell,14,High,128.35855840000022,1,6.918,280
buysell_between12,12,Sell,15,Low,16.36607880000065,0.25,5.553,280
buysell_between12,12,Sell,16,High,133.92375840000022,0.75,2.673,280
buysell_between12,12,Sell,17,Low,15.16529890000038,0.1,4.224,280
buysell_between12,12,Sell,18,Medium,51.43564340000012,0.45,2.654,280
buysell_between13,13,Buy,1,Low,14.905708700000105,0.75,1.418,250
buysell_between13,13,Buy,2,Medium,54.71781209999972,0.75,2.137,250
buysell_between13,13,Buy,3,High,138.18933240000024,0.45,1.174,250
buysell_between13,13,Buy,4,Low,18.180542900000546,1,2.441,250
buysell_between13,13,Buy,5,High,138.60555770000065,0.25,2.787,250
buysell_between13,13,Buy,6,Medium,56.41796350000004,1,1.368,250
buysell_between13,13,Buy,7,High,142.67037939999955,0.25,2.75,250
buysell_between13,13,Buy,8,Medium,50.13650599999983,0.25,2.805,250
buysell_between13,13,Buy,9,Low,16.76470700000027,1,3.388,250
buysell_between13,13,Buy,10,Medium,55.15089859999989,0.45,0.858,250
buysell_between13,13,Buy,11,Low,17.680734100000336,0.75,2.54,250
buysell_between13,13,Buy,12,High,142.90301720000116,0.1,3.605,250
buysell_between13,13,Buy,13,Medium,53.61912090000078,0.45,1.366,250
buysell_between13,13,Buy,14,High,144.51953660000072,0.1,1.942,250
buysell_between13,13,Buy,15,Low,17.414688200000455,1,4.088,250
buysell_between13,13,Buy,16,High,146.50265369999943,0.1,2.387,250
buysell_between13,13,Buy,17,Low,20.380175000000236,1,2.321,250
buysell_between13,13,Buy,18,Medium,56.76686730000074,0.25,3.421,250
buysell_between14,14,Sell,1,Low,23.27047820000007,0.1,6.083,345
buysell_between14,14,Sell,2,Medium,68.14875120000033,0.1,3.054,345
buysell_between14,14,Sell,3,High,189.0710511999987,0.1,2.775,345
buysell_between14,14,Sell,4,Low,24.545802800001184,0.1,2.54,345
buysell_between14,14,Sell,5,High,178.8407360000001,0.1,3.67,345
buysell_between14,14,Sell,6,Medium,70.31325649999962,0.1,3.49,345
buysell_between14,14,Sell,7,High,178.42560729999968,0.1,4.455,345
buysell_between14,14,Sell,8,Medium,69.47985270000027,0.1,3.522,345
buysell_between14,14,Sell,9,Low,29.42640019999999,0.1,2.885,345
buysell_between14,14,Sell,10,Medium,67.11341859999993,0.1,4.901,345
buysell_between14,14,Sell,11,Low,38.956408300000476,0.1,4.307,345
buysell_between14,14,Sell,12,High,167.36159670000052,0.1,7.351,345
buysell_between14,14,Sell,13,Medium,69.36347540000133,0.1,4.871,345
buysell_between14,14,Sell,14,High,159.9987672999996,0.45,3.741,345
buysell_between14,14,Sell,15,Low,33.626337600000625,0.1,2.356,345
buysell_between14,14,Sell,16,High,161.44677559999946,0.25,2.422,345
buysell_between14,14,Sell,17,Low,24.828931300000477,0.1,3.773,345
buysell_between14,14,Sell,18,Medium,63.39877669999987,0.25,4.739,345
buysell_between15,15,Sell,1,Low,22.08618209999986,0.25,6.222,345
buysell_between15,15,Sell,2,Medium,84.74052549999942,0.75,6.271,345
buysell_between15,15,Sell,3,High,167.7961464,1,2.408,345
buysell_between15,15,Sell,4,Low,32.19343369999842,0.1,2.371,345
buysell_between15,15,Sell,5,High,193.9196570999993,1,2.234,345
buysell_between15,15,Sell,6,Medium,76.47721450000063,0.45,1.351,345
buysell_between15,15,Sell,7,High,183.9062357999992,0.75,2.672,345
buysell_between15,15,Sell,8,Medium,81.95964979999917,0.75,6.067,345
buysell_between15,15,Sell,9,Low,28.944534199999907,0.1,1.625,345
buysell_between15,15,Sell,10,Medium,87.95600639999975,0.45,2.008,345
buysell_between15,15,Sell,11,Low,28.260745900000984,0.1,2.036,345
buysell_between15,15,Sell,12,High,186.52299129999847,1,1.657,345
buysell_between15,15,Sell,13,Medium,81.60856669999885,0.25,2.305,345
buysell_between15,15,Sell,14,High,218.8279225999995,1,2.824,345
buysell_between15,15,Sell,15,Low,38.54072140000062,0.25,2.124,345
