perspective,id,rt,gender,nasa_tlx,effort_steps,condition,trial,effort_level,rating,steps_req,age,adjusted_overall,experiment_name,effort_ans,scale_type
Perform,1,3.539,NA,350,32,Value,1,Low,1,30,NA,66,NA,NA,NA
Perform,1,2.929,NA,350,103,Value,2,Medium,2,100,NA,66,NA,NA,NA
Perform,1,2.277,NA,350,273,Value,3,High,5,270,NA,66,NA,NA,NA
Perform,1,1.913,NA,350,34,Value,4,Low,1,30,NA,66,NA,NA,NA
Perform,1,6.561,NA,350,276,Value,5,High,5,270,NA,66,NA,NA,NA
Perform,1,3.469,NA,350,105,Value,6,Medium,4,100,NA,66,NA,NA,NA
Perform,1,2.286,NA,350,270,Value,7,High,5,270,NA,66,NA,NA,NA
Perform,1,1.324,NA,350,102,Value,8,Medium,2,100,NA,66,NA,NA,NA
Perform,1,2.656,NA,350,33,Value,9,Low,1,30,NA,66,NA,NA,NA
Perform,1,3.537,NA,350,106,Value,10,Medium,3,100,NA,66,NA,NA,NA
Perform,1,2.116,NA,350,32,Value,11,Low,1,30,NA,66,NA,NA,NA
Perform,1,1.303,NA,350,272,Value,12,High,5,270,NA,66,NA,NA,NA
Perform,1,1.518,NA,350,101,Value,13,Medium,2,100,NA,66,NA,NA,NA
Perform,1,2.219,NA,350,274,Value,14,High,5,270,NA,66,NA,NA,NA
Perform,1,1.706,NA,350,32,Value,15,Low,1,30,NA,66,NA,NA,NA
Perform,1,2.051,NA,350,274,Value,16,High,5,270,NA,66,NA,NA,NA
Perform,1,1.453,NA,350,34,Value,17,Low,1,30,NA,66,NA,NA,NA
Perform,1,3.915,NA,350,102,Value,18,Medium,2,100,NA,66,NA,NA,NA
Perform,2,6.865,NA,315,31,Value,1,Low,2,30,NA,57.666666666666664,NA,NA,NA
Perform,2,6.858,NA,315,104,Value,2,Medium,2,100,NA,57.666666666666664,NA,NA,NA
Perform,2,7.32,NA,315,273,Value,3,High,2,270,NA,57.666666666666664,NA,NA,NA
Perform,2,0.994,NA,315,32,Value,4,Low,1,30,NA,57.666666666666664,NA,NA,NA
Perform,2,3.178,NA,315,275,Value,5,High,2,270,NA,57.666666666666664,NA,NA,NA
Perform,2,4.523,NA,315,108,Value,6,Medium,4,100,NA,57.666666666666664,NA,NA,NA
Perform,2,1.855,NA,315,273,Value,7,High,3,270,NA,57.666666666666664,NA,NA,NA
Perform,2,3.634,NA,315,100,Value,8,Medium,2,100,NA,57.666666666666664,NA,NA,NA
Perform,2,1.824,NA,315,32,Value,9,Low,4,30,NA,57.666666666666664,NA,NA,NA
Perform,2,1.163,NA,315,101,Value,10,Medium,3,100,NA,57.666666666666664,NA,NA,NA
Perform,2,5.718,NA,315,38,Value,11,Low,3,30,NA,57.666666666666664,NA,NA,NA
Perform,2,4.746,NA,315,269,Value,12,High,3,270,NA,57.666666666666664,NA,NA,NA
Perform,2,2.797,NA,315,102,Value,13,Medium,2,100,NA,57.666666666666664,NA,NA,NA
Perform,2,6.604,NA,315,271,Value,14,High,3,270,NA,57.666666666666664,NA,NA,NA
Perform,2,5.702,NA,315,32,Value,15,Low,2,30,NA,57.666666666666664,NA,NA,NA
Perform,2,1.807,NA,315,274,Value,16,High,1,270,NA,57.666666666666664,NA,NA,NA
Perform,2,6.324,NA,315,33,Value,17,Low,3,30,NA,57.666666666666664,NA,NA,NA
Perform,2,1.054,NA,315,104,Value,18,Medium,2,100,NA,57.666666666666664,NA,NA,NA
Perform,3,8.259,NA,420,37,Liking,1,Low,2,30,NA,77.33333333333333,NA,NA,NA
Perform,3,4.347,NA,420,104,Liking,2,Medium,4,100,NA,77.33333333333333,NA,NA,NA
Perform,3,4.071,NA,420,273,Liking,3,High,4,270,NA,77.33333333333333,NA,NA,NA
Perform,3,5.137,NA,420,34,Liking,4,Low,3,30,NA,77.33333333333333,NA,NA,NA
Perform,3,3.607,NA,420,273,Liking,5,High,2,270,NA,77.33333333333333,NA,NA,NA
Perform,3,3.027,NA,420,108,Liking,6,Medium,2,100,NA,77.33333333333333,NA,NA,NA
Perform,3,2.859,NA,420,272,Liking,7,High,1,270,NA,77.33333333333333,NA,NA,NA
Perform,3,2.514,NA,420,103,Liking,8,Medium,4,100,NA,77.33333333333333,NA,NA,NA
Perform,3,3.526,NA,420,33,Liking,9,Low,1,30,NA,77.33333333333333,NA,NA,NA
Perform,3,3.004,NA,420,103,Liking,10,Medium,2,100,NA,77.33333333333333,NA,NA,NA
Perform,3,2.508,NA,420,31,Liking,11,Low,3,30,NA,77.33333333333333,NA,NA,NA
Perform,3,2.109,NA,420,272,Liking,12,High,1,270,NA,77.33333333333333,NA,NA,NA
Perform,3,1.668,NA,420,100,Liking,13,Medium,1,100,NA,77.33333333333333,NA,NA,NA
Perform,3,1.933,NA,420,275,Liking,14,High,3,270,NA,77.33333333333333,NA,NA,NA
Perform,3,1.353,NA,420,29,Liking,15,Low,3,30,NA,77.33333333333333,NA,NA,NA
Perform,3,2.801,NA,420,273,Liking,16,High,2,270,NA,77.33333333333333,NA,NA,NA
Perform,3,1.68,NA,420,29,Liking,17,Low,3,30,NA,77.33333333333333,NA,NA,NA
Perform,3,1.888,NA,420,101,Liking,18,Medium,2,100,NA,77.33333333333333,NA,NA,NA
Perform,5,2.913,NA,275,30,Liking,1,Low,3,30,NA,61.666666666666664,NA,NA,NA
Perform,5,0.759,NA,275,98,Liking,2,Medium,2,100,NA,61.666666666666664,NA,NA,NA
Perform,5,3.191,NA,275,272,Liking,3,High,2,270,NA,61.666666666666664,NA,NA,NA
Perform,5,2.617,NA,275,31,Liking,4,Low,4,30,NA,61.666666666666664,NA,NA,NA
