id,qg,cond,Liking,Price
R_0DpPjdbkdM1oGNX,2,Liking First,4,1
R_0DpPjdbkdM1oGNX,3,Liking First,5,4
R_0DpPjdbkdM1oGNX,4,Liking First,4,1
R_0DpPjdbkdM1oGNX,5,Liking First,4,3
R_0DpPjdbkdM1oGNX,6,Liking First,4,2
R_0DpPjdbkdM1oGNX,7,Liking First,5,2
R_0DpPjdbkdM1oGNX,8,Liking First,2,1
R_0DpPjdbkdM1oGNX,9,Liking First,5,4
R_0DpPjdbkdM1oGNX,10,Liking First,5,3
R_0DpPjdbkdM1oGNX,11,Liking First,1,1
R_10ouLrub8kqjW9k,2,Liking First,2,1
R_10ouLrub8kqjW9k,3,Liking First,4,2
R_10ouLrub8kqjW9k,4,Liking First,1,1
R_10ouLrub8kqjW9k,5,Liking First,2,1
R_10ouLrub8kqjW9k,6,Liking First,4,5
R_10ouLrub8kqjW9k,7,Liking First,3,1
R_10ouLrub8kqjW9k,8,Liking First,5,5
R_10ouLrub8kqjW9k,9,Liking First,5,5
R_10ouLrub8kqjW9k,10,Liking First,2,1
R_10ouLrub8kqjW9k,11,Liking First,5,5
R_1F36cjCowGXrFnq,2,Liking First,5,1
R_1F36cjCowGXrFnq,3,Liking First,5,1
R_1F36cjCowGXrFnq,4,Liking First,5,1
R_1F36cjCowGXrFnq,5,Liking First,5,1
R_1F36cjCowGXrFnq,6,Liking First,5,4
R_1F36cjCowGXrFnq,7,Liking First,5,4
R_1F36cjCowGXrFnq,8,Liking First,5,2
R_1F36cjCowGXrFnq,9,Liking First,5,4
R_1F36cjCowGXrFnq,10,Liking First,5,1
R_1F36cjCowGXrFnq,11,Liking First,3,1
R_1FPNzhPQ3RjwoGJ,2,Liking First,3,1
R_1FPNzhPQ3RjwoGJ,3,Liking First,4,1
R_1FPNzhPQ3RjwoGJ,4,Liking First,5,2
R_1FPNzhPQ3RjwoGJ,5,Liking First,5,4
R_1FPNzhPQ3RjwoGJ,6,Liking First,5,3
R_1FPNzhPQ3RjwoGJ,7,Liking First,2,1
R_1FPNzhPQ3RjwoGJ,8,Liking First,5,4
R_1FPNzhPQ3RjwoGJ,9,Liking First,5,3
R_1FPNzhPQ3RjwoGJ,10,Liking First,2,2
R_1FPNzhPQ3RjwoGJ,11,Liking First,4,3
R_1Hk14c1E6XCep88,2,Liking First,4,3
R_1Hk14c1E6XCep88,3,Liking First,3,2
R_1Hk14c1E6XCep88,4,Liking First,2,2
R_1Hk14c1E6XCep88,5,Liking First,4,3
R_1Hk14c1E6XCep88,6,Liking First,2,2
R_1Hk14c1E6XCep88,7,Liking First,4,3
R_1Hk14c1E6XCep88,8,Liking First,3,3
R_1Hk14c1E6XCep88,9,Liking First,2,2
R_1Hk14c1E6XCep88,10,Liking First,2,2
R_1Hk14c1E6XCep88,11,Liking First,2,2
R_1LOwnpEDyQ3wzb2,2,Liking First,2,4
R_1LOwnpEDyQ3wzb2,3,Liking First,4,2
R_1LOwnpEDyQ3wzb2,4,Liking First,3,1
R_1LOwnpEDyQ3wzb2,5,Liking First,3,3
R_1LOwnpEDyQ3wzb2,6,Liking First,2,2
R_1LOwnpEDyQ3wzb2,7,Liking First,2,1
R_1LOwnpEDyQ3wzb2,8,Liking First,4,2
R_1LOwnpEDyQ3wzb2,9,Liking First,4,3
R_1LOwnpEDyQ3wzb2,10,Liking First,2,5
R_1LOwnpEDyQ3wzb2,11,Liking First,2,2
R_1NskqsFI66rBIrs,2,Liking First,4,1
R_1NskqsFI66rBIrs,3,Liking First,4,1
R_1NskqsFI66rBIrs,4,Liking First,4,1
R_1NskqsFI66rBIrs,5,Liking First,3,1
R_1NskqsFI66rBIrs,6,Liking First,4,1
R_1NskqsFI66rBIrs,7,Liking First,4,1
R_1NskqsFI66rBIrs,8,Liking First,4,1
R_1NskqsFI66rBIrs,9,Liking First,4,1
R_1NskqsFI66rBIrs,10,Liking First,4,2
R_1NskqsFI66rBIrs,11,Liking First,4,2
R_1QFtJCfqKJ3qjpR,2,Liking First,3,1
R_1QFtJCfqKJ3qjpR,3,Liking First,4,1
R_1QFtJCfqKJ3qjpR,4,Liking First,4,2
R_1QFtJCfqKJ3qjpR,5,Liking First,5,2
R_1QFtJCfqKJ3qjpR,6,Liking First,4,4
R_1QFtJCfqKJ3qjpR,7,Liking First,4,1
R_1QFtJCfqKJ3qjpR,8,Liking First,4,2
