id,magnitude,liking,value
1001,Small,3,5
1001,Small,5,5
1001,Small,2,5
1001,Small,4,5
1001,Small,5,1
1001,Small,1,1
1001,Small,1,1
1001,Small,4,1
1001,Small,2,2
1001,Small,4,2
1001,Small,3,2
1001,Small,1,2
1001,Small,3,3
1001,Small,5,3
1001,Small,3,3
1001,Small,5,3
1001,Small,4,4
1001,Small,2,4
1001,Small,4,4
1001,Small,2,4
34,Small,1,1
34,Small,4,1
34,Small,3,1
34,Small,1,1
34,Small,3,2
34,Small,3,2
34,Small,4,2
34,Small,3,2
34,Small,4,3
34,Small,2,3
34,Small,2,3
34,Small,2,3
34,Small,4,4
34,Small,3,4
34,Small,3,4
34,Small,2,4
34,Small,3,5
34,Small,4,5
34,Small,4,5
34,Small,3,5
35,Small,1,1
35,Small,1,1
35,Small,1,1
35,Small,1,1
35,Small,1,2
35,Small,4,2
35,Small,4,2
35,Small,2,2
35,Small,5,3
35,Small,1,3
35,Small,1,3
35,Small,5,3
35,Small,4,4
35,Small,2,4
35,Small,2,4
35,Small,2,4
35,Small,4,5
35,Small,2,5
35,Small,2,5
35,Small,1,5
33,Big,1,2
33,Big,2,2
33,Big,3,2
33,Big,2,2
33,Big,4,3
33,Big,5,3
33,Big,5,3
33,Big,4,3
33,Big,3,4
33,Big,4,4
33,Big,4,4
33,Big,4,4
33,Big,2,5
33,Big,3,5
33,Big,5,5
33,Big,4,5
33,Big,3,1
33,Big,2,1
33,Big,3,1
33,Big,5,1
36,Big,1,3
36,Big,1,3
36,Big,3,3
36,Big,3,3
36,Big,2,4
36,Big,5,4
36,Big,5,4
36,Big,5,4
36,Big,3,5
36,Big,5,5
36,Big,4,5
36,Big,3,5
36,Big,3,1
36,Big,3,1
36,Big,3,1
36,Big,5,1
36,Big,5,2
36,Big,2,2
36,Big,2,2
36,Big,5,2
37,Big,3,1
37,Big,3,1
37,Big,3,1
37,Big,2,1
37,Big,2,2
37,Big,3,2
37,Big,3,2
37,Big,3,2
37,Big,3,3
37,Big,4,3
37,Big,2,3
37,Big,3,3
37,Big,2,4
37,Big,3,4
37,Big,2,4
37,Big,3,4
37,Big,2,5
37,Big,2,5
37,Big,3,5
37,Big,4,5
38,Small,2,5
38,Small,4,5
38,Small,2,5
38,Small,3,5
38,Small,3,1
38,Small,5,1
38,Small,3,1
38,Small,4,1
38,Small,3,2
38,Small,5,2
38,Small,5,2
38,Small,4,2
38,Small,3,3
38,Small,4,3
38,Small,4,3
38,Small,5,3
38,Small,4,4
38,Small,4,4
38,Small,2,4
38,Small,4,4
39,Small,3,2
39,Small,4,2
39,Small,4,2
39,Small,4,2
39,Small,5,3
39,Small,5,3
39,Small,5,3
39,Small,5,3
39,Small,4,4
39,Small,4,4
39,Small,4,4
39,Small,4,4
39,Small,4,5
