subjID,trial,effort_level,rating,rt,effort_time,sex,age,effort_steps,component,comp_type
3,1,Low,3,4.083,20.13976690004347,Male,17,35,Physical,Demand
3,1,Low,3,3.279,20.13976690004347,Male,17,35,Effort,Demand
3,1,Low,3,3.185,20.13976690004347,Male,17,35,Temporal,Demand
3,1,Low,5,4.972,20.13976690004347,Male,17,35,Performance,Demand
3,1,Low,3,1.898,20.13976690004347,Male,17,35,Frustration,Affective
3,1,Low,3,1.613,20.13976690004347,Male,17,35,Mental,Demand
3,1,Low,3,4.213,20.13976690004347,Male,17,35,Pleasure,Affective
3,2,Medium,4,5.556,52.67672060005134,Male,17,107,Performance,Demand
3,2,Medium,4,1.917,52.67672060005134,Male,17,107,Physical,Demand
3,2,Medium,3,4.901,52.67672060005134,Male,17,107,Pleasure,Affective
3,2,Medium,4,2.748,52.67672060005134,Male,17,107,Effort,Demand
3,2,Medium,3,3.07,52.67672060005134,Male,17,107,Frustration,Affective
3,2,Medium,3,2.039,52.67672060005134,Male,17,107,Mental,Demand
3,2,Medium,4,2.644,52.67672060005134,Male,17,107,Temporal,Demand
3,3,High,5,2.476,129.05165580002358,Male,17,274,Temporal,Demand
3,3,High,4,3.11,129.05165580002358,Male,17,274,Effort,Demand
3,3,High,5,2.691,129.05165580002358,Male,17,274,Physical,Demand
3,3,High,4,5.068,129.05165580002358,Male,17,274,Performance,Demand
3,3,High,3,5.509,129.05165580002358,Male,17,274,Mental,Demand
3,3,High,4,1.841,129.05165580002358,Male,17,274,Frustration,Affective
3,3,High,2,1.665,129.05165580002358,Male,17,274,Pleasure,Affective
3,4,Low,3,4.029,28.287178400030825,Male,17,59,Pleasure,Affective
3,4,Low,2,3.01,28.287178400030825,Male,17,59,Effort,Demand
3,4,Low,3,2.556,28.287178400030825,Male,17,59,Physical,Demand
3,4,Low,2,8.071,28.287178400030825,Male,17,59,Temporal,Demand
3,4,Low,4,1.899,28.287178400030825,Male,17,59,Performance,Demand
3,4,Low,2,2.289,28.287178400030825,Male,17,59,Frustration,Affective
3,4,Low,2,2.37,28.287178400030825,Male,17,59,Mental,Demand
3,5,High,4,1.854,121.32280259998517,Male,17,273,Mental,Demand
3,5,High,5,3.85,121.32280259998517,Male,17,273,Effort,Demand
3,5,High,4,1.542,121.32280259998517,Male,17,273,Frustration,Affective
3,5,High,3,2.338,121.32280259998517,Male,17,273,Performance,Demand
3,5,High,1,3.953,121.32280259998517,Male,17,273,Pleasure,Affective
3,5,High,5,10.788,121.32280259998517,Male,17,273,Temporal,Demand
3,5,High,5,2.004,121.32280259998517,Male,17,273,Physical,Demand
3,6,Medium,3,4.034,43.565727600012906,Male,17,103,Pleasure,Affective
3,6,Medium,3,4.154,43.565727600012906,Male,17,103,Mental,Demand
3,6,Medium,2,6.602,43.565727600012906,Male,17,103,Effort,Demand
3,6,Medium,3,2.799,43.565727600012906,Male,17,103,Performance,Demand
3,6,Medium,2,2.966,43.565727600012906,Male,17,103,Frustration,Affective
3,6,Medium,3,2.162,43.565727600012906,Male,17,103,Temporal,Demand
3,6,Medium,2,2.821,43.565727600012906,Male,17,103,Physical,Demand
3,7,High,5,2.415,116.77348629996412,Male,17,274,Temporal,Demand
3,7,High,5,3.28,116.77348629996412,Male,17,274,Frustration,Affective
3,7,High,5,2.316,116.77348629996412,Male,17,274,Effort,Demand
3,7,High,5,3.517,116.77348629996412,Male,17,274,Physical,Demand
3,7,High,3,2.695,116.77348629996412,Male,17,274,Performance,Demand
3,7,High,1,4.39,116.77348629996412,Male,17,274,Pleasure,Affective
3,7,High,5,5.675,116.77348629996412,Male,17,274,Mental,Demand
3,8,Medium,3,3.147,53.72862619999796,Male,17,103,Effort,Demand
3,8,Medium,3,2.617,53.72862619999796,Male,17,103,Physical,Demand
3,8,Medium,4,2.078,53.72862619999796,Male,17,103,Performance,Demand
3,8,Medium,3,1.919,53.72862619999796,Male,17,103,Frustration,Affective
3,8,Medium,2,1.349,53.72862619999796,Male,17,103,Temporal,Demand
3,8,Medium,3,4.339,53.72862619999796,Male,17,103,Mental,Demand
3,8,Medium,3,3.451,53.72862619999796,Male,17,103,Pleasure,Affective
3,9,Low,1,2.48,20.925574799999595,Male,17,33,Effort,Demand
3,9,Low,1,1.624,20.925574799999595,Male,17,33,Frustration,Affective
3,9,Low,1,2.956,20.925574799999595,Male,17,33,Temporal,Demand
3,9,Low,1,3.386,20.925574799999595,Male,17,33,Physical,Demand
3,9,Low,4,3.192,20.925574799999595,Male,17,33,Pleasure,Affective
3,9,Low,4,1.868,20.925574799999595,Male,17,33,Performance,Demand
3,9,Low,2,1.848,20.925574799999595,Male,17,33,Mental,Demand
3,10,Medium,2,1.806,62.64141209999798,Male,17,104,Frustration,Affective
3,10,Medium,4,1.485,62.64141209999798,Male,17,104,Performance,Demand
3,10,Medium,2,1.175,62.64141209999798,Male,17,104,Temporal,Demand
3,10,Medium,3,1.807,62.64141209999798,Male,17,104,Pleasure,Affective
3,10,Medium,2,2.322,62.64141209999798,Male,17,104,Physical,Demand
3,10,Medium,2,5.041,62.64141209999798,Male,17,104,Effort,Demand
3,10,Medium,2,1.558,62.64141209999798,Male,17,104,Mental,Demand
3,11,Low,1,1.798,20.72342240001308,Male,17,34,Frustration,Affective
3,11,Low,1,1.565,20.72342240001308,Male,17,34,Temporal,Demand
3,11,Low,1,2.446,20.72342240001308,Male,17,34,Effort,Demand
3,11,Low,1,2.034,20.72342240001308,Male,17,34,Mental,Demand
3,11,Low,1,1.939,20.72342240001308,Male,17,34,Physical,Demand
3,11,Low,4,2.156,20.72342240001308,Male,17,34,Pleasure,Affective
3,11,Low,4,1.469,20.72342240001308,Male,17,34,Performance,Demand
3,12,High,2,4.125,156.7072886999813,Male,17,272,Mental,Demand
3,12,High,3,2.199,156.7072886999813,Male,17,272,Performance,Demand
3,12,High,4,1.913,156.7072886999813,Male,17,272,Effort,Demand
